case_name,swarm_size,w,c1,c2,max_iterations,seed,best_weighted,makespan,total_cost,runtime
single_small,20,0.3,1.2,1.2,80,1000,265.833265347743,265.833265347743,0.0,4.651360988616943
single_small,20,0.3,1.2,1.2,80,1001,260.54130490392953,260.54130490392953,0.0,5.0540611743927
single_small,20,0.3,1.2,1.2,80,1002,268.53961192565043,268.53961192565043,0.0,5.455507040023804
single_small,20,0.3,1.2,1.2,150,1003,262.7400848223386,262.7400848223386,0.0,13.05327320098877
single_small,20,0.3,1.2,1.2,150,1004,258.43366903368656,258.43366903368656,0.0,9.406646966934204
single_small,20,0.3,1.2,1.2,150,1005,259.8471446421282,259.8471446421282,0.0,9.153299808502197
single_small,20,0.3,1.2,1.2,250,1006,258.8259585567037,258.8259585567037,0.0,16.70254898071289
single_small,20,0.3,1.2,1.2,250,1007,258.5537869692628,258.5537869692628,0.0,14.439610242843628
single_small,20,0.3,1.2,1.2,250,1008,260.37369145161716,260.37369145161716,0.0,14.19140625
single_small,20,0.3,1.7,1.7,80,1009,262.81247048908347,262.81247048908347,0.0,4.808927774429321
single_small,20,0.3,1.7,1.7,80,1010,261.5490083986358,261.5490083986358,0.0,4.686717987060547
single_small,20,0.3,1.7,1.7,80,1011,264.4738007428851,264.4738007428851,0.0,4.926371812820435
single_small,20,0.3,1.7,1.7,150,1012,264.43524475478927,264.43524475478927,0.0,10.660862922668457
single_small,20,0.3,1.7,1.7,150,1013,273.69505580515323,273.69505580515323,0.0,8.527055025100708
single_small,20,0.3,1.7,1.7,150,1014,268.0121520969627,268.0121520969627,0.0,9.870956897735596
single_small,20,0.3,1.7,1.7,250,1015,268.6458298445473,268.6458298445473,0.0,15.026080131530762
single_small,20,0.3,1.7,1.7,250,1016,259.4727952987672,259.4727952987672,0.0,15.555253982543945
single_small,20,0.3,1.7,1.7,250,1017,259.4530256449414,259.4530256449414,0.0,14.868717908859253
single_small,20,0.3,2.2,2.2,80,1018,388.06180439641275,287.42206647953014,100.63973791688262,8.157181978225708
single_small,20,0.3,2.2,2.2,80,1019,294.0742283289662,294.0742283289662,0.0,8.391571283340454
single_small,20,0.3,2.2,2.2,80,1020,289.75762046074414,289.75762046074414,0.0,6.115231990814209
single_small,20,0.3,2.2,2.2,150,1021,265.2623560631806,265.2623560631806,0.0,9.46979284286499
single_small,20,0.3,2.2,2.2,150,1022,275.69789303079415,275.69789303079415,0.0,9.806267738342285
single_small,20,0.3,2.2,2.2,150,1023,264.56126258277084,264.56126258277084,0.0,9.281000852584839
single_small,20,0.3,2.2,2.2,250,1024,270.0737829616233,270.0737829616233,0.0,17.31169629096985
single_small,20,0.3,2.2,2.2,250,1025,265.4815461693008,265.4815461693008,0.0,16.158830881118774
single_small,20,0.3,2.2,2.2,250,1026,262.49217958788984,262.49217958788984,0.0,19.165488719940186
single_small,20,0.5,1.2,1.2,80,1027,284.1452787732311,284.1452787732311,0.0,7.300815105438232
single_small,20,0.5,1.2,1.2,80,1028,261.171394392251,261.171394392251,0.0,4.614746332168579
single_small,20,0.5,1.2,1.2,80,1029,283.704029941145,283.704029941145,0.0,7.981297016143799
single_small,20,0.5,1.2,1.2,150,1030,262.16935830400064,262.16935830400064,0.0,9.597989797592163
single_small,20,0.5,1.2,1.2,150,1031,262.66698583481366,262.66698583481366,0.0,12.653756141662598
single_small,20,0.5,1.2,1.2,150,1032,266.0043993847398,266.0043993847398,0.0,10.54484486579895
single_small,20,0.5,1.2,1.2,250,1033,264.28959210844937,264.28959210844937,0.0,14.694109916687012
single_small,20,0.5,1.2,1.2,250,1034,260.3549849957,260.3549849957,0.0,16.232415914535522
single_small,20,0.5,1.2,1.2,250,1035,258.9440873384773,258.9440873384773,0.0,14.282335996627808
single_small,20,0.5,1.7,1.7,80,1036,265.63300464694544,265.63300464694544,0.0,4.859519004821777
single_small,20,0.5,1.7,1.7,80,1037,260.948032054364,260.948032054364,0.0,5.127308130264282
single_small,20,0.5,1.7,1.7,80,1038,264.1996383363472,264.1996383363472,0.0,5.059082984924316
single_small,20,0.5,1.7,1.7,150,1039,283.3718460673825,283.3718460673825,0.0,9.399203062057495
single_small,20,0.5,1.7,1.7,150,1040,274.33837226171477,274.33837226171477,0.0,13.422623872756958
single_small,20,0.5,1.7,1.7,150,1041,266.1703938994378,266.1703938994378,0.0,8.919575929641724
single_small,20,0.5,1.7,1.7,250,1042,263.26180568725664,263.26180568725664,0.0,15.967395067214966
single_small,20,0.5,1.7,1.7,250,1043,265.53953320592814,265.53953320592814,0.0,18.80984401702881
single_small,20,0.5,1.7,1.7,250,1044,267.32006413950046,267.32006413950046,0.0,14.872461080551147
single_small,20,0.5,2.2,2.2,80,1045,271.7892636882283,271.7892636882283,0.0,4.635047197341919
single_small,20,0.5,2.2,2.2,80,1046,271.5819577016657,271.5819577016657,0.0,4.927128791809082
single_small,20,0.5,2.2,2.2,80,1047,287.00689655172414,287.00689655172414,0.0,4.784420013427734
single_small,20,0.5,2.2,2.2,150,1048,266.60437087382616,266.60437087382616,0.0,8.758928298950195
single_small,20,0.5,2.2,2.2,150,1049,274.5186258919145,274.5186258919145,0.0,14.201183080673218
single_small,20,0.5,2.2,2.2,150,1050,269.1194909266923,269.1194909266923,0.0,9.42787790298462
single_small,20,0.5,2.2,2.2,250,1051,270.70087450049226,270.70087450049226,0.0,15.743377923965454
single_small,20,0.5,2.2,2.2,250,1052,269.94342828585707,269.94342828585707,0.0,15.07019305229187
single_small,20,0.5,2.2,2.2,250,1053,267.49562312061477,267.49562312061477,0.0,15.151882886886597
single_small,20,0.8,1.2,1.2,80,1054,272.40215548673655,272.40215548673655,0.0,4.444162845611572
single_small,20,0.8,1.2,1.2,80,1055,264.85234024054483,264.85234024054483,0.0,5.02118182182312
single_small,20,0.8,1.2,1.2,80,1056,280.57225454220224,280.57225454220224,0.0,4.488404273986816
single_small,20,0.8,1.2,1.2,150,1057,288.5451729478575,288.5451729478575,0.0,8.398536205291748
single_small,20,0.8,1.2,1.2,150,1058,272.39538139957324,272.39538139957324,0.0,12.39081621170044
single_small,20,0.8,1.2,1.2,150,1059,264.3428400995721,264.3428400995721,0.0,9.310528993606567
single_small,20,0.8,1.2,1.2,250,1060,266.2933960710793,266.2933960710793,0.0,14.092374086380005
single_small,20,0.8,1.2,1.2,250,1061,264.54410774410775,264.54410774410775,0.0,14.504832983016968
single_small,20,0.8,1.2,1.2,250,1062,288.88510638297873,288.88510638297873,0.0,14.750560998916626
single_small,20,0.8,1.7,1.7,80,1063,284.4292735508874,284.4292735508874,0.0,4.489558219909668
single_small,20,0.8,1.7,1.7,80,1064,287.65991851041645,287.65991851041645,0.0,6.936854124069214
single_small,20,0.8,1.7,1.7,80,1065,268.04001031193604,268.04001031193604,0.0,4.577852964401245
single_small,20,0.8,1.7,1.7,150,1066,267.1734383229375,267.1734383229375,0.0,8.838699579238892
single_small,20,0.8,1.7,1.7,150,1067,266.415763546798,266.415763546798,0.0,8.657848834991455
