iteration,static_best,adaptive_best
0,2681.4900925792635,2524.876202684618
1,2681.4900925792635,2492.044636823152
2,2681.4900925792635,2485.4446368231515
3,2681.4900925792635,2484.124636823152
4,2681.4900925792635,2483.8646368231516
5,2681.4900925792635,2483.8646368231516
6,2681.4900925792635,2483.8646368231516
7,2681.4900925792635,2483.8646368231516
8,2681.4900925792635,2483.8646368231516
9,2681.4900925792635,2483.8646368231516
10,2681.4900925792635,2483.8646368231516
11,2681.4900925792635,2483.8646368231516
12,2681.4900925792635,2483.8646368231516
13,2681.4900925792635,2483.8646368231516
14,2681.4900925792635,2483.8646368231516
15,2681.4900925792635,2483.8646368231516
16,2681.4900925792635,2483.8646368231516
17,2681.4900925792635,2483.8646368231516
18,2681.4900925792635,2483.8646368231516
19,2681.4900925792635,2483.8646368231516
20,2681.4900925792635,2483.8646368231516
21,2681.4900925792635,2483.8646368231516
22,2681.4900925792635,2483.8646368231516
23,2681.4900925792635,2483.8646368231516
24,2681.4900925792635,2483.8646368231516
25,2681.4900925792635,2483.8646368231516
26,2681.4900925792635,2483.8646368231516
27,2681.4900925792635,2483.8646368231516
28,2681.4900925792635,2483.8646368231516
29,2681.4900925792635,2483.8646368231516
30,2681.4900925792635,2483.8646368231516
31,2681.4900925792635,2483.8646368231516
32,2665.108962937915,2483.8646368231516
33,2477.3140023424367,2483.8646368231516
34,2477.3140023424367,2483.8646368231516
35,2477.3140023424367,2483.8646368231516
36,2477.3140023424367,2483.8646368231516
37,2477.3140023424367,2483.8646368231516
38,2477.3140023424367,2483.8646368231516
39,2477.3140023424367,2431.324762019399
40,2477.3140023424367,2431.324762019399
41,2477.3140023424367,2431.324762019399
42,2477.3140023424367,2431.324762019399
43,2477.3140023424367,2431.324762019399
44,2477.3140023424367,2431.324762019399
45,2477.3140023424367,2202.891299244352
46,2477.3140023424367,2202.891299244352
47,2477.3140023424367,2202.891299244352
48,2477.3140023424367,2202.891299244352
49,2477.3140023424367,2202.891299244352
50,2477.3140023424367,2202.891299244352
51,2477.3140023424367,2202.891299244352
52,2477.3140023424367,2202.891299244352
53,2477.3140023424367,2202.891299244352
54,2477.3140023424367,2202.891299244352
55,2477.3140023424367,2202.891299244352
56,2477.3140023424367,2202.891299244352
57,2477.3140023424367,2202.891299244352
58,2477.3140023424367,2202.891299244352
59,2477.3140023424367,2202.891299244352
60,2477.3140023424367,2202.891299244352
61,2477.3140023424367,2202.891299244352
62,2477.3140023424367,2202.891299244352
63,2477.3140023424367,2202.891299244352
64,2477.3140023424367,2202.891299244352
65,2477.3140023424367,2202.891299244352
66,2477.3140023424367,2202.891299244352
67,2477.3140023424367,2202.891299244352
68,2477.3140023424367,2202.891299244352
69,2477.3140023424367,2002.1111925100154
70,2477.3140023424367,2002.1111925100154
71,2477.3140023424367,1992.4847632196397
72,2477.3140023424367,1992.4847632196397
73,2477.3140023424367,1992.4847632196397
74,2477.3140023424367,1992.4847632196397
75,2477.3140023424367,1992.4847632196397
76,2477.3140023424367,1992.4847632196397
77,2477.3140023424367,1992.4847632196397
78,2477.3140023424367,1992.4847632196397
79,2477.3140023424367,1962.7370249198464
80,2477.3140023424367,1958.2804090449888
81,2328.5848574571282,1958.2804090449888
82,2328.5848574571282,1957.7027065596324
83,2328.5848574571282,1897.8138658676767
84,2328.5848574571282,1861.3744363213941
85,2328.5848574571282,1861.3744363213941
86,2328.5848574571282,1861.3744363213941
87,2038.8081196820303,1861.3744363213941
88,2038.8081196820303,1861.3744363213941
89,2038.8081196820303,1861.3744363213941
90,2038.8081196820303,1861.3744363213941
91,2038.8081196820303,1861.3744363213941
92,2038.8081196820303,1861.3744363213941
93,2038.8081196820303,1673.2694970001696
94,2038.8081196820303,1673.2694970001696
95,2038.8081196820303,1673.2694970001696
96,2038.8081196820303,1673.2694970001696
97,2038.8081196820303,1673.2694970001696
98,2038.8081196820303,1673.2694970001696
99,2038.8081196820303,1673.2694970001696
100,2038.8081196820303,1673.2694970001696
101,2038.8081196820303,1673.2694970001696
102,2038.8081196820303,1673.2694970001696
103,2038.8081196820303,1673.2694970001696
104,2038.8081196820303,1673.2694970001696
105,2038.8081196820303,1673.2694970001696
106,2038.8081196820303,1673.2694970001696
107,2038.8081196820303,1661.2746705323111
108,2038.8081196820303,1661.2746705323111
109,2038.8081196820303,1661.2746705323111
110,2038.8081196820303,1661.2746705323111
111,1799.0707195427497,1661.2746705323111
112,1799.0707195427497,1661.2746705323111
113,1799.0707195427497,1661.2746705323111
114,1799.0707195427497,1661.2746705323111
115,1799.0707195427497,1661.2746705323111
116,1799.0707195427497,1661.2746705323111
117,1799.0707195427497,1661.2746705323111
118,1799.0707195427497,1661.2746705323111
119,1799.0707195427497,1661.2746705323111
120,1760.848055512241,1661.2746705323111
121,1760.848055512241,1649.5287604865061
122,1760.848055512241,1649.5287604865061
123,1760.848055512241,1649.5287604865061
124,1760.848055512241,1537.3580973473972
125,1760.848055512241,1537.3580973473972
126,1760.848055512241,1520.8511848028782
127,1760.848055512241,1520.8511848028782
128,1760.848055512241,1520.8511848028782
129,1760.848055512241,1520.8511848028782
130,1760.848055512241,1520.8511848028782
131,1760.848055512241,1520.8511848028782
132,1760.848055512241,1520.8511848028782
133,1760.848055512241,1520.8511848028782
134,1760.848055512241,1520.8511848028782
135,1760.848055512241,1520.8511848028782
136,1760.848055512241,1520.8511848028782
137,1760.848055512241,1520.8511848028782
138,1760.848055512241,1520.8511848028782
139,1760.848055512241,1520.8511848028782
140,1760.848055512241,1520.8511848028782
141,1760.848055512241,1520.8511848028782
142,1760.848055512241,1520.8511848028782
143,1760.848055512241,1520.8511848028782
144,1760.848055512241,1520.8511848028782
145,1760.848055512241,1520.8511848028782
146,1760.848055512241,1520.8511848028782
147,1760.848055512241,1520.8511848028782
148,1760.848055512241,1483.5857568645188
149,1760.848055512241,1483.5857568645188
